" For documentation and support visit %1 or contact: %2 "," For documentation and support visit %1 or contact: %2 "
" [deleted]"," [deleted]"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"%1 quote(s) cannot be canceled.","%1 quote(s) cannot be canceled."
"%1 was updated in your quote.","%1 was updated in your quote."
"About Your Quote","About Your Quote"
"Accept & Checkout","Accept & Checkout"
"Accept Quotation","Accept Quotation"
"Account Information","Account Information"
"Add Button on Category Page","Add Button on Category Page"
"Add Button on Detail Page","Add Button on Detail Page"
"Add Product Remark","Add Product Remark"
"Add Products","Add Products"
"Add Qty Tier","Add Qty Tier"
"Add Section","Add Section"
"Add Selected Product(s) to Quote","Add Selected Product(s) to Quote"
"Add tier","Add tier"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Quote","Add to Quote"
"Add to Wish List","Add to Wish List"
"Adding to Quote...","Adding to Quote..."
"Additional CSS","Additional CSS"
"Address Information","Address Information"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Advanced Pricing","Advanced Pricing"
"Allow Guest Request","Allow Guest Request"
"Append Comments","Append Comments"
"Apply Coupon Code","Apply Coupon Code"
"Apply Subtotal Proposal","Apply Subtotal Proposal"
"Are you sure you want to cancel this Quote?","Are you sure you want to cancel this Quote?"
"Are you sure? This quote will be canceled and a new one will be created instead.","Are you sure? This quote will be canceled and a new one will be created instead."
"Attach document","Attach document"
"Attach pdf","Attach pdf"
"Auto User Login","Auto User Login"
"Back to My Quote","Back to My Quote"
"Best Wishes.","Best Wishes."
"Billing Address Configuration","Billing Address Configuration"
"Billing Address","Billing Address"
"Bug Report","Bug Report"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"Carrier Title","Carrier Title"
"Cart2Quote - Installation Manual","Cart2Quote - Installation Manual"
"Cart2Quote - Quick Start Manual","Cart2Quote - Quick Start Manual"
"Cart2Quote - User Manual","Cart2Quote - User Manual"
"Cart2Quote License:","Cart2Quote License:"
"Cart2Quote Status:","Cart2Quote Status:"
"Cart2Quote Version:","Cart2Quote Version:"
"Cart2Quote for Magento 2 is Provided by %1","Cart2Quote for Magento 2 is Provided by %1"
"Cart2Quote notice:","Cart2Quote notice:"
"Catalog price: %1","Catalog price: %1"
"Change Address","Change Address"
"Change Customer","Change Customer"
"Change Request","Change Request"
"Change to default billing address","Change to default billing address"
"Change to default shipping address","Change to default shipping address"
"Check out faster","Check out faster"
"Clear Quote","Clear Quote"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Click to change shipping method","Click to change shipping method"
"Clicking the button below will open a new page where you can ","Clicking the button below will open a new page where you can "
"Collapse Item","Collapse Item"
"Collapse/Expand All Items","Collapse/Expand All Items"
"Comment added","Comment added"
"Comment with quote: ","Comment with quote: "
"Compare Editions","Compare Editions"
"Configuration: ","Configuration: "
"Continue Shopping","Continue Shopping"
"Move to Quotation","Move to Quotation"
"Cost Price","Cost Price"
"Create A Ticket","Create A Ticket"
"Create New Quote","Create New Quote"
"Create Order","Create Order"
"Create Quote for %1 in %2","Create Quote for %1 in %2"
"Create Quote for %1","Create Quote for %1"
"Create Quote for New Customer in %1","Create Quote for New Customer in %1"
"Create Quote for New Customer","Create Quote for New Customer"
"Create Ticket","Create Ticket"
"Create a support ticket","Create a support ticket"
"Create an Account","Create an Account"
"Create an account to receive a shipping quote","Create an account to receive a shipping quote"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Current Cart2Quote Edition","Current Cart2Quote Edition"
"Current Domain:","Current Domain:"
"Custom Price","Custom Price"
"Customer First Name","Customer First Name"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer Last Name","Customer Last Name"
"Customer Name","Customer Name"
"Customer SupportDesk Version:","Customer SupportDesk Version:"
"Customer account already exists, please login to request a quote.","Customer account already exists, please login to request a quote."
"Customer no longer exists.","Customer no longer exists."
"Customize and Add to Cart","Customize and Add to Cart"
"Customize and Add to Quote","Customize and Add to Quote"
"Default Expiration Time","Default Expiration Time"
"Default Reminder Time","Default Reminder Time"
"Delete Tier","Delete Tier"
"DeskEmail Version:","DeskEmail Version:"
"Disable Customer Checkout On Quote","Disable Customer Checkout On Quote"
"Disable Negative Profit","Disable Negative Profit"
"Disable Product Remark Field","Disable Product Remark Field"
"Discount (%1)","Discount (%1)"
"Discount Percentage invalid","Discount Percentage invalid"
"Display Mini Quote","Display Mini Quote"
"Displayed Error Message","Displayed Error Message"
"Do you have a general remark with this Quote Request?","Do you have a general remark with this Quote Request?"
"Document name","Document name"
"Duplicate Item","Duplicate Item"
"Dynamic add to cart/quote buttons","Dynamic add to cart/quote buttons"
"Edit Order","Edit Order"
"Edit Quote #","Edit Quote #"
"Edit Quote","Edit Quote"
"Edit sections","Edit sections"
"Email Address","Email Address"
"Email address is mandatory for a quote.","Email address is mandatory for a quote."
"Email quote Confirmation","Email quote Confirmation"
"Enable Submission Form","Enable Submission Form"
"Enable payment instructions","Enable payment instructions"
"Enable product short description","Enable product short description"
"Enable stock check quotation backend","Enable stock check quotation backend"
"Enable stock check quotation frontend","Enable stock check quotation frontend"
"Enter your comments at any time.","Enter your comments at any time."
"Enter your details","Enter your details"
"Entered value lower than cost price","Entered value lower than cost price"
"Error while saving the customer","Error while saving the customer"
"Exception occurred during quote load","Exception occurred during quote load"
"Excl. Tax","Excl. Tax"
"Expiry Date","Expiry Date"
"Export to:","Export to:"
"Extra CSS for the miniquote icon","Extra CSS for the miniquote icon"
"Extra Global CSS","Extra Global CSS"
"Field Name","Field Name"
"First Name","First Name"
"For delivery questions.","For delivery questions."
"Forgot Your Password?","Forgot Your Password?"
"Form Builder","Form Builder"
"Form Configuration","Form Configuration"
"From Name","From Name"
"Frontend Quotation Visibility","Frontend Quotation Visibility"
"GP Margin","GP Margin"
"General support data","General support data"
"Get shipping methods and rates","Get shipping methods and rates"
"Gift Message for the Entire Quote","Gift Message for the Entire Quote"
"Gift Message for this Quote","Gift Message for this Quote"
"Gift Message","Gift Message"
"Gift Options for ","Gift Options for "
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Excl. Tax) ","Grand Total (Excl. Tax) "
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
